Id,Address,Distance,Latitude,Longitude,Bikes,Dockings,StationAdList,timestamp
3,Not in Service,0,25.8340416,-80.02682,0,2,"",2014-03-10 14:22:25 -0400
100,Washington Ave & 7th Street,0,25.7768764,-80.13394,8,5,"",2014-03-10 14:22:25 -0400
101,Inside South Pointe Park,0,25.7653275,-80.1313248,5,11,"",2014-03-10 14:22:25 -0400
102,Entrance to South Pointe Park,0,25.76738,-80.13587,4,11,"",2014-03-10 14:22:25 -0400
103,Ocean Dr & 1st Street ,0,25.7694359,-80.13305,4,8,"",2014-03-10 14:22:25 -0400
105,1st Street & Alton Rd,0,25.7697754,-80.13739,11,3,"",2014-03-10 14:22:25 -0400
106,Ocean Dr & 2nd Street,0,25.7711124,-80.13257,11,5,"",2014-03-10 14:22:25 -0400
107,2nd Street & Collins Ave ,0,25.7708836,-80.1338,1,13,"",2014-03-10 14:22:25 -0400
108,Michigan Ave & 3rd Street,0,25.7721329,-80.13831,5,6,"",2014-03-10 14:22:25 -0400
109,4th Street & Alton Rd,0,25.7735119,-80.13969,3,10,"",2014-03-10 14:22:25 -0400
110,Not in Service,0,25.8340416,-80.02682,6,9,"",2014-03-10 14:22:25 -0400
111,Euclid Ave & 5th Street,0,25.7742,-80.13497,13,2,"",2014-03-10 14:22:25 -0400
112,Ocean Dr & 5th Street ,0,25.7749176,-80.1315842,0,14,"",2014-03-10 14:22:25 -0400
113,Ocean Dr & 9th Street,0,25.7791729,-80.13083,3,12,"",2014-03-10 14:22:25 -0400
114,Ocean Dr and 10th Street (Art Deco Welcome Center),0,25.78076,-80.12991,0,21,"",2014-03-10 14:22:25 -0400
115,13th Street & Collins Ave,0,25.7840786,-80.1308,0,16,"",2014-03-10 14:22:25 -0400
116,Ocean Dr at 14th Street,0,25.7850342,-80.1294556,0,16,"",2014-03-10 14:22:25 -0400
117,Ocean Dr & 14th Place,0,25.7867641,-80.12954,10,3,"",2014-03-10 14:22:25 -0400
118,13th Street & Washington Ave,0,25.7842255,-80.13248,2,13,"",2014-03-10 14:22:25 -0400
119,11th Street & Washington Ave,0,25.7819214,-80.13306,2,9,"",2014-03-10 14:22:25 -0400
120,9th Street & Washington Ave,0,25.77947,-80.13339,14,2,"",2014-03-10 14:22:25 -0400
121,7th Street Parking Garage,0,25.7770615,-80.1331558,7,6,"",2014-03-10 14:22:25 -0400
122,Meridian Ave & 6th St,0,25.77581,-80.13589,3,13,"",2014-03-10 14:22:25 -0400
123,Michigan Ave & 5th Street,0,25.7747955,-80.13842,3,10,"",2014-03-10 14:22:25 -0400
124,Lenox Ave & 6th Street,0,25.77604,-80.13965,4,12,"",2014-03-10 14:22:25 -0400
125,6th Street Between Alton Rd & West Ave,0,25.7757549,-80.1411362,3,12,"",2014-03-10 14:22:25 -0400
126,9th Street & Lenox Ave,0,25.779274,-80.14001,2,12,"",2014-03-10 14:22:25 -0400
128,Pennsylvania Ave & 13th Street,0,25.7842388,-80.1341,1,7,"",2014-03-10 14:22:25 -0400
129,Jefferson Ave & 11th Street (Flamingo Park),0,25.7821846,-80.1375656,2,12,"",2014-03-10 14:22:25 -0400
130,Alton Rd at 11th Street (Flamingo Park),0,25.7820225,-80.14085,0,16,"",2014-03-10 14:22:25 -0400
131,West Ave & 10th Street (Whole Foods),0,25.7808533,-80.1421661,2,14,"",2014-03-10 14:22:25 -0400
132,12th Street & West Ave,0,25.7827454,-80.1420059,1,14,"",2014-03-10 14:22:25 -0400
134,Meridian Ave & 13th Street (Flamingo Park),0,25.7836571,-80.13633,1,15,"",2014-03-10 14:22:25 -0400
135,15th Street & Alton Rd,0,25.7872982,-80.1407547,3,13,"",2014-03-10 14:22:25 -0400
136,Bay Rd & 15th Street,0,25.78706,-80.14355,17,7,"",2014-03-10 14:22:25 -0400
137,Not in Service,0,25.8340416,-80.02682,3,13,"",2014-03-10 14:22:25 -0400
138,16th Street & Michigan Ave,0,25.7890377,-80.13857,1,7,"",2014-03-10 14:22:25 -0400
139,Euclid Ave & 15th Street,0,25.7877331,-80.13545,1,11,"",2014-03-10 14:22:25 -0400
140,Pennsylvania Ave & 15th Street,0,25.7887268,-80.13419,1,14,"",2014-03-10 14:22:25 -0400
141,15th Street & Washington Ave (5 Guys),0,25.7876282,-80.13219,5,11,"",2014-03-10 14:22:25 -0400
143,15th Street & Collins Ave,0,25.7875843,-80.1301346,0,16,"",2014-03-10 14:22:25 -0400
144,Lincoln Rd & James Ave (CVS Pharmacy),0,25.7906628,-80.1310349,12,4,"",2014-03-10 14:22:25 -0400
145,Washington Ave & 17th Street (The Fillmore),0,25.7927265,-80.13215,10,4,"",2014-03-10 14:22:25 -0400
146,Drexel Ave & Lincoln Rd (MB Community Church),0,25.7900848,-80.13319,7,8,"",2014-03-10 14:22:25 -0400
147,Pennsylvania Ave & Lincoln Rd (H & M),0,25.79015,-80.13438,2,14,"",2014-03-10 14:22:25 -0400
148,Euclid Ave & Lincoln Lane (Oribe Salon),0,25.7899551,-80.1354,0,12,"",2014-03-10 14:22:25 -0400
149,Meridian Ave & Lincoln Lane (Macy's),0,25.7914982,-80.1366959,0,13,"",2014-03-10 14:22:25 -0400
150,Jefferson Ave & Lincoln Rd (DogBar),0,25.7911549,-80.13775,4,12,"",2014-03-10 14:22:25 -0400
152,Lenox Ave & Lincoln Rd (Pottery Barn),0,25.7909012,-80.14,2,14,"",2014-03-10 14:22:25 -0400
153,Lincoln Road & West Ave,0,25.79034,-80.1423,12,3,"",2014-03-10 14:22:25 -0400
154,Venetian Causeway & Island Ave (The Standard Hotel & Spa),0,25.7914219,-80.1481552,2,20,"",2014-03-10 14:22:25 -0400
155,Purdy Ave & 18th Street (Marina),0,25.7934017,-80.14441,8,7,"",2014-03-10 14:22:25 -0400
156,Convention Center Dr @ Hall C Entrance,0,25.7946358,-80.1347046,3,5,"",2014-03-10 14:22:25 -0400
157,17th Street & Convention Center Dr (City Hall),0,25.7925739,-80.13498,0,11,"",2014-03-10 14:22:25 -0400
158,17th Street & Collins Ave,0,25.7923164,-80.12929,7,8,"",2014-03-10 14:22:25 -0400
159,18th Street & Collins Ave,0,25.794,-80.12901,4,11,"",2014-03-10 14:22:25 -0400
161,Washington Ave & 20th Street ,0,25.7963943,-80.13223,1,11,"",2014-03-10 14:22:25 -0400
162,23rd Street & Collins Ave (Walgreens),0,25.7985382,-80.12834,2,13,"",2014-03-10 14:22:25 -0400
163,Jefferson Ave & 6th Street,0,25.7756844,-80.1371841,9,7,"",2014-03-10 14:22:25 -0400
164,Ocean Dr & 7th Street,0,25.77679,-80.13094,0,13,"",2014-03-10 14:22:25 -0400
165,Ocean Dr & 12th Street,0,25.78247,-80.12988,3,13,"",2014-03-10 14:22:25 -0400
166,22nd Street & Collins Ave (W Hotel),0,25.79744,-80.12805,8,8,"",2014-03-10 14:22:25 -0400
170,14th Street & West Ave,0,25.7851143,-80.14256,2,13,"",2014-03-10 14:22:25 -0400
171,18th Street & West Ave (Fresh Market),0,25.7935963,-80.1423645,8,8,"",2014-03-10 14:22:25 -0400
174,8th Street & Jefferson Ave,0,25.7784138,-80.13723,2,14,"",2014-03-10 14:22:25 -0400
176,Behind Surfcomber Hotel @Boardwalk,0,25.7928085,-80.12778,6,6,"",2014-03-10 14:22:25 -0400
201,19th Street & Dade Blvd (Publix),0,25.7948227,-80.13936,13,2,"",2014-03-10 14:22:25 -0400
202,Sunset Dr & 20th Street,0,25.79523,-80.14138,0,14,"",2014-03-10 14:22:25 -0400
203,West Ave & 20th Street (Publix on the Bay),0,25.7955017,-80.14295,0,16,"",2014-03-10 14:22:25 -0400
204,25th Street & Collins Ave,0,25.80087,-80.1256,2,13,"",2014-03-10 14:22:25 -0400
205,24th Street & Collins Ave,0,25.8000832,-80.12703,1,6,"",2014-03-10 14:22:25 -0400
206,26th Street & Collins Ave,0,25.80229,-80.1259155,1,14,"",2014-03-10 14:22:25 -0400
207,31st Street & Collins Ave,0,25.8068371,-80.12518,2,14,"",2014-03-10 14:22:25 -0400
208,35th Street & Collins Ave,0,25.8090477,-80.12346,8,7,"",2014-03-10 14:22:25 -0400
209,40th Street & Collins Ave,0,25.8125038,-80.12337,13,3,"",2014-03-10 14:22:25 -0400
210,43rd Street & Collins Ave,0,25.81454,-80.12305,12,2,"",2014-03-10 14:22:25 -0400
211,Collins Ave & 44th Street (Fountainbleau Hotel),0,25.8160114,-80.1236649,6,5,"",2014-03-10 14:22:25 -0400
212,46th Street & Collins Ave (Parking Lot),0,25.8208675,-80.1223145,0,30,"",2014-03-10 14:22:25 -0400
214,Chase Ave & 41st Street,0,25.81354,-80.1317,6,10,"",2014-03-10 14:22:25 -0400
215,39th Street & Alton Rd,0,25.812151,-80.1354752,3,12,"",2014-03-10 14:22:25 -0400
302,Collins Ave & 5300 Block,0,25.8303757,-80.12224,3,13,"",2014-03-10 14:22:25 -0400
304,Not in Service,0,25.8340416,-80.02682,6,10,"",2014-03-10 14:22:25 -0400
305,67th Street & Collins Ave,0,25.85069,-80.12063,0,12,"",2014-03-10 14:22:25 -0400
307,71st Street & Byron Ave,0,25.85591,-80.12321,0,15,"",2014-03-10 14:22:25 -0400
308,73rd Street & Collins Ave,0,25.8582344,-80.121,6,7,"",2014-03-10 14:22:25 -0400
309,76th Street & Collins Ave,0,25.8612537,-80.1207047,6,7,"",2014-03-10 14:22:25 -0400
310,79th Street & Collins Ave,0,25.8642,-80.12122,3,11,"",2014-03-10 14:22:25 -0400
312,73rd Street & Dickens Ave,0,25.8579712,-80.1253052,5,9,"",2014-03-10 14:22:25 -0400
314,Rue Notre Dame & Maimonedes Street,0,25.8545628,-80.13255,0,16,"",2014-03-10 14:22:25 -0400
315,Trouville Esplanade & Normandy Dr,0,25.85208,-80.13755,4,10,"",2014-03-10 14:22:25 -0400
320,Vichy Dr & 71st Street,0,25.8549366,-80.13087,2,13,"",2014-03-10 14:22:25 -0400
401,Collins Ave & 93rd Street,0,25.88108,-80.12221,3,13,"",2014-03-10 14:22:25 -0400
402,88th Street & Harding Ave,0,25.8730984,-80.12209,2,14,"",2014-03-10 14:22:25 -0400
403,96th Street (Entrance to beach),0,25.8870811,-80.12194,11,0,"",2014-03-10 14:22:25 -0400
404,94th Street & Harding Ave,0,25.88338,-80.12386,4,11,"",2014-03-10 14:22:25 -0400
501,W Bay Harbor Dr & 97th Street,0,25.88745,-80.13332,8,7,"",2014-03-10 14:22:25 -0400
502,103rd Street btw W and E Bay Harbor Dr,0,25.8933029,-80.13242,7,9,"",2014-03-10 14:22:25 -0400
503,95th Street BTW E Bay Harbor Dr and Bay Harbor Ter,0,25.88579,-80.12978,2,13,"",2014-03-10 14:22:25 -0400
